DISTRIBUIDORA PAMPA SUR S.R.L.
LISTA DE PRECIOS N° 48 - Vigencia 01/09/2026 al 15/09/2026
Precios expresados en pesos. Precio unitario valido comprando por bulto cerrado.
Bonif_1: 1 a 4 bultos | Bonif_2: 5 a 19 bultos | Bonif_3: 20 bultos o mas.
Las bonificaciones se aplican en cascada, no se suman.
Los precios no incluyen percepciones de IVA (RG 2408) ni de Ingresos Brutos.

codigo;ean;descripcion;marca;rubro;unidad_venta;unidades_por_bulto;precio_lista_sin_iva;alicuota_iva;precio_lista_con_iva;bonif_1;bonif_2;bonif_3;proveedor;vigencia_desde;estado
4018;7790015001019;ARROZ EL DIQUE x 500 gr.;EL DIQUE;Almacen;BULTO;20;447,87;10,5;494,90;0,00;3,00;5,00;Molinos del Sur;01/09/2026;ACTIVO
4021;7790015001026;ARROZ LARGO FINO CAÑUELAS x 500 gr.;CAÑUELAS;Almacen;BULTO;20;597,19;10,5;659,90;0,00;3,00;5,00;Molinos del Sur;01/09/2026;ACTIVO
4035;7790015001033;ARROZ GALLO ORO x 500 gr.;GALLO;Almacen;BULTO;20;846,06;10,5;934,90;0,00;3,00;5,00;Molinos Rio de la Plata;01/09/2026;ACTIVO
4102;7790015001040;FIDEOS MAROLIO GUISERO x 500 gr.;MAROLIO;Almacen;BULTO;20;618,10;21;747,90;0,00;3,00;5,00;Marolio SA;01/09/2026;ACTIVO
4103;7790015001057;FIDEOS MAROLIO TALLARIN x 500 gr.;MAROLIO;Almacen;BULTO;20;618,10;21;747,90;0,00;3,00;5,00;Marolio SA;01/09/2026;ACTIVO
4118-4119-4120;7790015001064;FIDEOS DON VICENTE MOÑO / CODITO / TIRABUZON x 500 gr.;DON VICENTE;Almacen;BULTO;20;1.999,92;21;2419,90;0,00;3,00;5,00;Molinos Rio de la Plata;01/09/2026;ACTIVO
4201;7790015001071;HARINA PUREZA 0000 x 1 kg.;PUREZA;Almacen;BULTO;10;955,57;10,5;1055,90;0,00;3,00;5,00;Molinos Rio de la Plata;01/09/2026;ACTIVO
4202;7790015001088;HARINA LEUDANTE BLANCAFLOR x 1 kg.;BLANCAFLOR;Almacen;BULTO;10;1.075,93;10,5;1188,90;0,00;3,00;5,00;Molinos Rio de la Plata;01/09/2026;ACTIVO
4310;7790015001095;GARBANZOS MAROLIO x 400 gr.;MAROLIO;Almacen;BULTO;24;909,01;21;1099,90;0,00;3,00;5,00;Marolio SA;01/09/2026;ACTIVO
4311;7790015001101;LENTEJAS MAROLIO x 400 gr.;MAROLIO;Almacen;BULTO;24;909,01;21;1099,90;0,00;3,00;5,00;Marolio SA;01/09/2026;ACTIVO
