DISTRIBUIDORA PAMPA SUREÑA S.R.L.
CONTROL DE STOCK POR DEPOSITO - Corte al 02/09/2026, 18:00 hs
Disponible = Stock total - Comprometido. Comprometido son pedidos cargados sin despachar.
Stock minimo es el piso que no se debe perforar. Punto de reposicion es el nivel que dispara la compra.
AVER, TRAN y DEV son depositos logicos, no ubicaciones fisicas.

codigo;descripcion;rubro;deposito;deposito_nombre;ubicacion;unidad;unid_x_bulto;stock_bultos;stock_total_un;comprometido;disponible;stock_minimo;punto_reposicion;lote;vencimiento;ultimo_inventario
4018;ARROZ EL DIQUE x 500 gr.;Almacen;DEP01;Deposito Central;A-01-1;BULTO;20;145;2900;120;2780;800;1400;L2608A;12/2027;29/08/2026
4021;ARROZ LARGO FINO CAÑUELAS x 500 gr.;Almacen;DEP01;Deposito Central;A-01-2;BULTO;20;88;1760;0;1760;600;1000;L2607B;10/2027;29/08/2026
4035;ARROZ GALLO ORO x 500 gr.;Almacen;DEP01;Deposito Central;A-01-3;BULTO;20;34;680;200;480;600;1000;L2605C;08/2027;29/08/2026
4102;FIDEOS MAROLIO GUISERO x 500 gr.;Almacen;DEP01;Deposito Central;A-02-1;BULTO;20;210;4200;400;3800;1000;1800;L2608D;06/2028;29/08/2026
4103;FIDEOS MAROLIO TALLARIN x 500 gr.;Almacen;DEP01;Deposito Central;A-02-1;BULTO;20;185;3700;0;3700;1000;1800;L2608D;06/2028;29/08/2026
4118-4119-4120;FIDEOS DON VICENTE MOÑO / CODITO / TIRABUZON x 500 gr.;Almacen;DEP01;Deposito Central;A-02-2;BULTO;20;62;1240;120;1120;400;700;L2606E;04/2028;29/08/2026
4201;HARINA PUREZA 0000 x 1 kg.;Almacen;DEP01;Deposito Central;A-03-1;BULTO;10;96;960;50;910;400;700;L2607F;03/2027;29/08/2026
4202;HARINA LEUDANTE BLANCAFLOR x 1 kg.;Almacen;DEP01;Deposito Central;A-03-1;BULTO;10;41;410;0;410;300;550;L2607G;03/2027;29/08/2026
4310;GARBANZOS MAROLIO x 400 gr.;Almacen;DEP01;Deposito Central;A-04-2;BULTO;24;128;3072;0;3072;500;900;L2604H;11/2027;29/08/2026
4311;LENTEJAS MAROLIO x 400 gr.;Almacen;DEP01;Deposito Central;A-04-2;BULTO;24;117;2808;96;2712;500;900;L2604H;11/2027;29/08/2026
4312;ARVEJAS MAROLIO x 350 gr.;Almacen;DEP01;Deposito Central;A-04-3;BULTO;24;74;1776;0;1776;400;700;L2605J;09/2027;29/08/2026
4405;ACEITE GIRASOL CAÑUELAS-COCINERO x 900 cc.;Almacen;DEP01;Deposito Central;B-01-1;BULTO;12;156;1872;240;1632;700;1200;L2608K;02/2028;29/08/2026
4406;ACEITE MEZCLA NATURA x 900 cc.;Almacen;DEP01;Deposito Central;B-01-2;BULTO;12;48;576;0;576;300;550;L2607L;01/2028;29/08/2026
4501;AZUCAR LEDESMA x 1 kg.;Almacen;DEP01;Deposito Central;B-02-1;BULTO;10;203;2030;100;1930;800;1400;L2608M;12/2028;29/08/2026
4610;PURE DE TOMATE ARCOR x 520 gr.;Almacen;DEP01;Deposito Central;B-03-1;BULTO;12;91;1092;0;1092;400;700;L2606N;07/2027;29/08/2026
4611;ARVEJAS AL NATURAL ARCOR x 350 gr.;Almacen;DEP01;Deposito Central;B-03-2;BULTO;24;143;3432;144;3288;600;1000;L2606P;07/2027;29/08/2026
4620;ATUN AL ACEITE GOMES DA COSTA x 170 gr.;Almacen;DEP01;Deposito Central;B-04-1;BULTO;24;27;648;48;600;300;550;L2603Q;05/2027;29/08/2026
4701;MERM. DE DURAZNO ARCOR x 454 gr.;Almacen;DEP01;Deposito Central;C-01-1;BULTO;12;66;792;0;792;300;550;L2605R;10/2027;29/08/2026
4702;D.LECHE LA SERENISIMA x 400 gr.;Almacen;DEP01;Deposito Central;C-01-2;BULTO;12;82;984;60;924;350;600;L2607S;03/2027;29/08/2026
4801;YERBA ROSAMONTE TRAD-SUAVE x 1 kg.;Almacen;DEP01;Deposito Central;C-02-1;BULTO;10;174;1740;200;1540;700;1200;L2608T;08/2028;29/08/2026
4802;YERBA PLAYADITO x 1 kg.;Almacen;DEP01;Deposito Central;C-02-2;BULTO;10;8;80;80;0;700;1200;L2607U;07/2028;29/08/2026
